title,release_year,popularity,vote_average,vote_count
Total Eclipse,1995,4.546552,6.5,112.0
"To Wong Foo, Thanks for Everything! Julie Newmar",1995,7.653446,6.3,117.0
Under Siege 2: Dark Territory,1995,7.490247,5.6,217.0
Unstrung Heroes,1995,2.881689,6.4,9.0
Unzipped,1995,0.786023,6.0,6.0
A Walk in the Clouds,1995,9.715639,6.5,168.0
Waterworld,1995,16.885184,5.9,1017.0
White Man's Burden,1995,1.834099,5.1,25.0
Wild Bill,1995,8.922139,5.9,27.0
The Browning Version,1994,3.727644,6.0,11.0
Bushwhacked,1995,3.287036,4.9,29.0
Burnt by the Sun,1994,2.486073,6.7,35.0
Before the Rain,1994,3.525649,7.7,45.0
Before Sunrise,1995,11.304979,7.7,984.0
Billy Madison,1995,6.638116,6.2,464.0
The Babysitter,1995,2.761837,4.7,27.0
Boys on the Side,1995,3.030309,6.3,48.0
The Cure,1995,2.686342,7.2,58.0
Castle Freak,1995,2.26977,5.8,40.0
Circle of Friends,1995,2.605521,6.5,30.0
Clerks,1994,10.513367,7.4,769.0
Don Juan DeMarco,1994,7.438934,6.3,184.0
Disclosure,1994,11.812244,5.9,217.0
Dream Man,1995,0.155859,2.5,1.0
Drop Zone,1994,9.579155,5.1,91.0
Destiny Turns on the Radio,1995,0.710671,5.3,9.0
Death and the Maiden,1994,5.484156,7.1,92.0
Dolores Claiborne,1995,5.8025,7.1,183.0
Dumb and Dumber,1994,9.844558,6.5,1894.0
Eat Drink Man Woman,1994,4.860016,7.5,76.0
Exotica,1994,5.378467,6.5,64.0
Exit to Eden,1994,4.322726,4.3,28.0
Ed Wood,1994,11.720358,7.3,639.0
French Kiss,1995,9.146544,6.2,179.0
Forget Paris,1995,16.236745,6.1,38.0
Far from Home: The Adventures of Yellow Dog,1995,2.657337,5.6,27.0
A Goofy Movie,1995,10.177977,6.7,404.0
Hideaway,1995,8.182165,5.0,24.0
Fluke,1995,4.953936,6.6,48.0
Farinelli,1994,8.935058,5.9,20.0
Gordy,1995,0.398924,3.0,4.0
Gumby: The Movie,1995,0.090452,5.0,2.0
The Glass Shield,1994,1.012197,5.4,9.0
Hoop Dreams,1994,9.47666,7.7,91.0
Heavenly Creatures,1994,9.438042,6.9,299.0
Houseguest,1995,2.688562,6.0,17.0
Immortal Beloved,1994,7.983666,6.9,90.0
Heavyweights,1995,9.546707,6.0,97.0
The Hunted,1995,2.756986,6.0,25.0
I.Q.,1994,5.146352,5.9,112.0
Interview with the Vampire,1994,11.970205,7.2,1558.0
Jefferson in Paris,1995,1.596058,5.2,10.0
The Jerky Boys,1995,0.748846,4.8,10.0
Junior,1994,6.710215,4.7,381.0
Just Cause,1995,9.195256,6.0,124.0
A Kid in King Arthur's Court,1995,5.874511,4.3,40.0
Kiss of Death,1995,7.797512,5.7,83.0
Star Wars,1977,42.149697,8.1,6778.0
Little Women,1994,9.774994,7.0,222.0
A Little Princess,1995,7.731725,7.4,207.0
Ladybird Ladybird,1994,0.84508,7.4,14.0
L'Enfer,1994,1.948315,6.6,22.0
Like Water for Chocolate,1992,4.126083,6.6,70.0
Legends of the Fall,1994,12.199047,7.2,636.0
Major Payne,1995,9.253362,6.1,164.0
Little Odessa,1994,1.861292,6.4,31.0
Mi Vida Loca,1994,1.788829,5.7,9.0
Love Affair,1994,3.290192,4.3,11.0
Losing Isaiah,1995,7.698526,6.4,28.0
The Madness of King George,1994,4.81307,6.7,67.0
Mary Shelley's Frankenstein,1994,14.287753,6.1,272.0
Man of the House,1995,2.558118,5.1,40.0
Mixed Nuts,1994,2.899608,5.2,37.0
Milk Money,1994,3.770115,5.6,49.0
Miracle on 34th Street,1994,5.831622,6.4,199.0
Miami Rhapsody,1995,1.137266,5.6,7.0
My Family,1995,3.121288,7.0,11.0
Murder in the First,1995,9.518564,6.9,140.0
Nobody's Fool,1994,2.891269,7.0,56.0
Nell,1994,5.930957,6.1,128.0
New Jersey Drive,1995,0.629955,6.9,7.0
New York Cop,1993,0.004537,0.0,0.0
Beyond Bedlam,1994,0.426952,4.0,4.0
Nemesis 2 - Nebula,1995,1.466491,4.6,10.0
Nina Takes a Lover,1995,0.769522,7.4,4.0
Natural Born Killers,1994,11.226856,6.9,927.0
Only You,1994,4.936761,6.4,92.0
Once Were Warriors,1994,4.025276,7.6,106.0
Poison Ivy II: Lily,1996,6.448039,4.6,32.0
Outbreak,1995,13.676444,6.4,522.0
Leon: The Professional,1994,20.477329,8.2,4293.0
The Perez Family,1995,1.433544,6.6,9.0
A Pyromaniac's Love Story,1995,0.463307,7.0,2.0
Pulp Fiction,1994,140.950236,8.3,8670.0
Panther,1995,7.160149,6.4,6.0
Pushing Hands,1992,1.638622,6.1,9.0
Priest,1994,1.881932,6.4,32.0
Quiz Show,1994,7.772505,7.1,262.0
Picture Bride,1995,1.296912,7.4,5.0
Queen Margot,1994,4.405405,7.0,67.0
The Quick and the Dead,1995,7.54701,6.2,431.0
Roommates,1995,3.395867,6.4,7.0
Prêt-à-Porter,1994,6.259433,5.3,33.0
Three Colors: Red,1994,7.832755,7.8,246.0
Three Colors: Blue,1993,8.843517,7.7,311.0
Three Colors: White,1994,6.5898,7.3,218.0
"Red Firecracker, Green Firecracker",1994,0.078257,7.0,2.0
Rent-a-Kid,1995,1.155255,5.1,15.0
Relative Fear,1995,0.499601,4.7,3.0
Stuart Saves His Family,1995,1.390885,5.0,6.0
The Swan Princess,1994,8.910462,6.5,251.0
The Secret of Roan Inish,1994,1.750481,6.1,15.0
The Specialist,1994,10.388183,5.5,317.0
Stargate,1994,13.328924,6.8,942.0
The Santa Clause,1994,9.665424,6.3,501.0
The Shawshank Redemption,1994,51.645403,8.5,8358.0
Shallow Grave,1994,8.223026,7.0,247.0
Suture,1993,1.298224,6.0,7.0
Strawberry and Chocolate,1993,1.777197,7.1,16.0
Swimming with Sharks,1994,5.869261,6.7,104.0
The Sum of Us,1994,1.407427,6.0,21.0
Senior Trip,1995,5.05806,5.7,23.0
To Live,1994,5.260627,7.7,62.0
Tank Girl,1995,7.602087,5.5,140.0
Tales from the Crypt: Demon Knight,1995,9.455342,6.7,96.0
Star Trek: Generations,1994,8.105708,6.4,461.0
Tales from the Hood,1995,2.86007,5.4,33.0
Tom & Viv,1994,0.704204,5.8,8.0
Village of the Damned,1995,6.529879,5.6,165.0
Tommy Boy,1995,11.971318,6.8,321.0
Vanya on 42nd Street,1994,7.039846,6.1,15.0
The Underneath,1995,2.059771,5.6,15.0
The Walking Dead,1995,0.620873,6.6,4.0
What's Eating Gilbert Grape,1993,10.3919,7.5,943.0
Virtuosity,1995,5.188399,5.4,163.0
While You Were Sleeping,1995,15.783615,6.5,340.0
The War,1994,3.908596,6.3,39.0
Double Happiness,1994,0.372239,5.5,2.0
Muriel's Wedding,1994,5.254847,6.9,104.0
The Baby-Sitters Club,1995,2.15805,5.3,23.0
Ace Ventura: Pet Detective,1994,11.247957,6.4,1684.0
"The Adventures of Priscilla, Queen of the Desert",1994,8.328596,7.2,174.0
Backbeat,1994,2.487951,6.2,37.0
Bitter Moon,1992,11.298195,7.0,115.0
Bullets Over Broadway,1994,5.72288,7.0,130.0
Clear and Present Danger,1994,7.513245,6.4,390.0
The Client,1994,15.263829,6.4,287.0
"Corrina, Corrina",1994,6.924689,6.4,83.0
Crooklyn,1994,2.533022,6.7,31.0
The Crow,1994,15.799336,7.3,980.0
Cobb,1994,2.583363,6.1,29.0
The Flintstones,1994,15.019586,5.0,559.0
Forrest Gump,1994,48.307194,8.2,8147.0
Four Weddings and a Funeral,1994,8.990345,6.6,654.0
Higher Learning,1995,7.817811,6.4,49.0
I Like It Like That,1994,0.289295,6.3,4.0
I Love Trouble,1994,3.570874,5.3,41.0
It Could Happen to You,1994,11.272073,6.1,154.0
The Jungle Book,1994,10.714235,5.9,107.0
"The Wonderful, Horrible Life of Leni Riefenstahl",1993,0.568884,7.3,5.0
The Lion King,1994,21.605761,8.0,5520.0
Little Buddha,1993,5.681522,6.0,76.0
New Nightmare,1994,9.860522,6.4,297.0
The Mask,1994,14.13488,6.6,2550.0
Maverick,1994,15.050326,6.6,490.0
Mrs. Parker and the Vicious Circle,1994,4.739054,6.3,20.0
The Naked Gun 33⅓: The Final Insult,1994,10.587232,6.4,535.0
The Paper,1994,4.006063,6.1,40.0
Reality Bites,1994,6.514592,6.5,180.0
Red Rock West,1993,5.137903,6.4,71.0
Ri¢hie Ri¢h,1994,6.595255,5.4,426.0
Safe Passage,1994,4.931565,4.9,7.0
The River Wild,1994,10.511241,6.1,214.0
Speed,1994,10.859292,6.8,1814.0
Speechless,1994,2.334226,5.5,24.0
Timecop,1994,8.907074,5.5,288.0
True Lies,1994,11.396099,6.8,1138.0
When a Man Loves a Woman,1994,4.322544,6.0,71.0
Wolf,1994,14.063845,6.0,221.0
Wyatt Earp,1994,9.277147,6.5,203.0
Bad Company,1995,0.912415,4.9,12.0
A Man of No Importance,1994,0.406113,6.5,2.0
S.F.W.,1994,2.504529,6.1,22.0
A Low Down Dirty Shame,1994,3.021526,6.0,31.0
"Boys Life: Three Stories of Love, Lust, and Liberation",1994,0.054148,2.0,1.0
Colonel Chabert,1994,0.934312,5.9,9.0
"Faster, Pussycat! Kill! Kill!",1965,4.220541,6.5,59.0
Jason's Lyric,1994,0.912909,5.9,9.0
The Secret Adventures of Tom Thumb,1993,0.381704,7.1,8.0
Street Fighter,1994,13.58449,4.1,330.0
Coldblooded,1995,2.342756,6.7,13.0
Desert Winds,1997,0.251223,0.0,0.0
Fall Time,1995,1.108494,6.3,6.0
The Fear,1995,0.268043,3.4,7.0
Frank and Ollie,1995,0.142357,7.5,4.0
Girl in the Cadillac,1995,0.405392,10.0,1.0
Homage,1995,0.014925,0.0,0.0
Mirage,1995,0.302957,4.0,1.0
Open Season,1996,0.012456,0.0,0.0
Dos Crímenes,1995,0.233376,5.0,1.0
Brother Minister: The Assassination of Malcolm X,1995,0.0368,4.0,1.0
Highlander: The Final Dimension,1994,6.866634,4.5,110.0
Federal Hill,1995,0.100685,5.0,2.0
In the Mouth of Madness,1994,8.497643,7.1,307.0
8 Seconds,1994,1.888534,7.2,22.0
Above the Rim,1994,4.38154,6.7,40.0
Addams Family Values,1993,17.555909,6.5,537.0
Martin Lawrence: You So Crazy,1994,0.394194,4.5,4.0
The Age of Innocence,1993,8.013617,7.0,172.0
Airheads,1994,7.09232,5.8,222.0
The Air Up There,1994,1.896273,5.1,42.0
Another Stakeout,1993,12.967239,4.9,58.0
Bad Girls,1994,14.644772,4.6,61.0
Barcelona,1994,1.632711,6.6,20.0
Being Human,1994,2.783872,5.0,15.0
The Beverly Hillbillies,1993,5.673735,5.0,86.0
Beverly Hills Cop III,1994,11.787784,5.5,445.0
Black Beauty,1994,8.398845,6.6,68.0
Blink,1994,3.00282,6.3,45.0
Blown Away,1994,13.155071,6.0,126.0
Blue Chips,1994,6.131056,5.7,41.0
Blue Sky,1994,4.993829,6.1,28.0
Body Snatchers,1993,6.559693,5.8,102.0
Boxing Helena,1993,4.304224,4.5,59.0
A Bronx Tale,1993,6.115628,7.4,447.0
Cabin Boy,1994,1.679042,4.9,28.0
Calendar Girl,1993,1.316741,3.7,10.0
Carlito's Way,1993,8.698509,7.7,805.0
City Slickers II: The Legend of Curly's Gold,1994,8.605703,4.9,103.0
Clean Slate,1994,2.724621,5.7,25.0
Cliffhanger,1993,9.830853,6.1,600.0
Coneheads,1993,10.722729,4.8,228.0
Color of Night,1994,14.228963,5.4,117.0
Cops & Robbersons,1994,7.042878,5.0,36.0
The Cowboy Way,1994,4.286279,5.1,38.0
Dangerous Game,1993,2.70097,5.4,9.0
Dave,1993,13.696394,6.3,205.0
Dazed and Confused,1993,6.8652,7.4,588.0
Demolition Man,1993,11.626116,6.4,1018.0
The Endless Summer 2,1994,0.408159,7.1,12.0
Even Cowgirls Get the Blues,1994,2.970724,4.2,29.0
Fatal Instinct,1993,3.555139,5.4,37.0
Farewell My Concubine,1993,4.875827,7.8,98.0
The Favor,1994,1.344876,3.3,6.0
Fearless,1993,9.284624,6.8,80.0
Fear of a Black Hat,1994,0.985441,5.8,11.0
With Honors,1994,2.969003,6.1,54.0
Flesh and Bone,1993,1.896869,6.2,22.0
Widows' Peak,1994,0.409427,4.3,3.0
For Love or Money,1993,8.468869,5.7,77.0
The Firm,1993,9.678367,6.6,513.0
Free Willy,1993,5.990572,6.0,429.0
Fresh,1994,3.970215,7.6,56.0
The Fugitive,1993,10.08937,7.2,1240.0
Geronimo: An American Legend,1993,4.653462,5.9,44.0
The Getaway,1994,14.214403,5.4,81.0
Getting Even with Dad,1994,2.410545,4.5,43.0
Go Fish,1994,0.775898,3.9,5.0
A Good Man in Africa,1994,5.22583,5.2,11.0
Guilty as Sin,1993,5.385108,5.6,21.0
Hard Target,1993,7.834351,6.1,237.0
Heaven & Earth,1993,4.190541,6.4,51.0
Hot Shots! Part Deux,1993,13.482371,6.2,463.0
Live Nude Girls,1995,2.138959,4.7,12.0
The Englishman Who Went Up a Hill But Came Down a Mountain,1995,5.331753,6.1,83.0
The House of the Spirits,1993,10.687795,6.7,135.0
House Party 3,1994,0.996047,4.6,11.0
The Hudsucker Proxy,1994,7.550545,7.1,280.0
I'll Do Anything,1994,1.742974,5.7,18.0
In the Army Now,1994,6.071466,4.7,54.0
In the Line of Fire,1993,12.637158,6.8,392.0
In the Name of the Father,1993,7.405895,7.6,363.0
The Inkwell,1994,0.613335,3.9,5.0
What's Love Got to Do with It,1993,14.820883,6.9,75.0
Jimmy Hollywood,1994,4.563989,4.6,17.0
Judgment Night,1993,5.538671,6.4,79.0
Jurassic Park,1993,8.863776,7.6,4956.0
Kalifornia,1993,8.4337,6.5,209.0
Killing Zoe,1993,4.948569,6.1,111.0
King of the Hill,1993,4.375347,6.4,33.0
Lassie,1994,3.645342,6.1,54.0
Last Action Hero,1993,9.434006,6.1,725.0
Life With Mikey,1993,6.446229,5.1,24.0
Lightning Jack,1994,2.913584,5.7,40.0
M. Butterfly,1993,6.516976,6.6,35.0
Made in America,1993,5.43085,5.3,86.0
Malice,1993,9.861672,5.9,105.0
The Man without a Face,1993,5.997712,6.2,125.0
Manhattan Murder Mystery,1993,8.939404,7.1,169.0
Menace II Society,1993,5.260924,7.2,179.0
Executive Decision,1996,13.106291,5.8,261.0
In the Realm of the Senses,1976,8.932494,6.5,112.0
What Happened Was...,1994,0.534606,7.0,7.0
Much Ado About Nothing,1993,8.62724,7.2,194.0
Mr. Jones,1993,6.579753,5.9,35.0
Mr. Wonderful,1993,13.011091,5.5,11.0
Mrs. Doubtfire,1993,11.16553,7.0,1638.0
Naked,1993,8.665198,7.5,105.0
The Next Karate Kid,1994,9.9697,4.8,202.0
The New Age,1994,0.596207,4.8,5.0
No Escape,1994,9.715187,6.1,86.0
North,1994,15.534707,4.8,67.0
Orlando,1992,3.800785,6.7,53.0
A Perfect World,1993,8.040589,7.2,376.0
Philadelphia,1993,13.373006,7.6,1019.0
The Piano,1993,7.436758,7.1,290.0
Poetic Justice,1993,6.972599,6.9,47.0
The Program,1993,3.199976,6.0,28.0
The Puppet Masters,1994,7.272296,5.6,41.0
Radioland Murders,1994,8.506727,5.8,12.0
The Ref,1994,5.868677,6.7,99.0
The Remains of the Day,1993,12.222576,7.5,213.0
Renaissance Man,1994,4.985157,5.9,83.0
Rising Sun,1993,6.279082,5.8,188.0
The Road to Wellville,1994,3.416181,5.5,43.0
RoboCop 3,1993,8.685798,4.2,309.0
Robin Hood: Men in Tights,1993,17.136672,6.4,575.0
Romeo Is Bleeding,1993,9.796318,5.7,36.0
Romper Stomper,1992,5.157926,6.6,126.0
Ruby in Paradise,1993,0.941994,5.6,10.0
Rudy,1993,5.914833,7.2,187.0
The Saint of Fort Washington,1993,1.065843,4.0,5.0
Savage Nights,1992,1.031556,6.2,11.0
Schindler's List,1993,41.725123,8.3,4436.0
The Scout,1994,5.715608,5.3,37.0
Searching for Bobby Fischer,1993,12.048587,7.3,100.0
Second Best,1994,0.882596,5.9,8.0
The Secret Garden,1993,6.499523,7.1,232.0
Serial Mom,1994,5.305311,6.4,137.0
The Shadow,1994,7.881107,5.4,140.0
Shadowlands,1993,2.96586,6.8,61.0
Short Cuts,1993,8.829337,6.9,136.0
A Simple Twist of Fate,1994,4.13516,5.7,26.0
Sirens,1993,2.86213,5.2,31.0
Six Degrees of Separation,1993,8.730025,6.5,75.0
Sleepless in Seattle,1993,10.234919,6.5,630.0
Sliver,1993,11.23297,4.9,144.0
Blade Runner,1982,96.272374,7.9,3833.0
Son in Law,1993,9.122718,5.6,81.0
So I Married an Axe Murderer,1993,8.051914,6.1,131.0
Striking Distance,1993,13.390917,5.4,223.0
Harem,1985,1.825468,4.0,4.0
Super Mario Bros.,1993,7.198455,4.0,236.0
Surviving the Game,1994,3.644641,6.1,53.0
Terminal Velocity,1994,8.012225,5.0,82.0
Thirty Two Short Films About Glenn Gould,1993,0.873068,7.4,9.0
Threesome,1994,10.82236,6.3,57.0
The Nightmare Before Christmas,1993,17.730913,7.6,2135.0
The Three Musketeers,1993,6.34785,6.2,219.0
Tombstone,1993,11.338194,7.4,632.0
Trial by Jury,1994,0.85586,5.5,5.0
True Romance,1993,17.189328,7.5,762.0
The War Room,1993,1.273617,7.3,19.0
The Pagemaster,1994,7.436001,6.2,178.0
"Paris, France",1994,0.741522,6.0,2.0
"The Beans of Egypt, Maine",1994,0.38247,0.0,1.0
Killer,1994,0.422224,3.0,2.0
Welcome to the Dollhouse,1995,5.14056,6.9,103.0
Germinal,1993,2.759302,6.3,43.0
Chasers,1994,9.85327,4.7,22.0
Cronos,1993,5.513024,6.4,153.0
Naked in New York,1993,0.449733,4.0,3.0
Kika,1993,3.647321,6.8,58.0
Bhaji on the Beach,1994,0.441585,5.1,10.0
Little Big League,1994,1.960563,6.0,20.0
The Slingshot,1993,1.764582,6.2,10.0
Wide Eyed and Legless,1993,0.00015,0.0,0.0
Foreign Student,1994,0.002789,0.0,0.0
"Ciao, Professore!",1992,3.456868,7.2,74.0
Spanking the Monkey,1994,2.799575,5.3,29.0
The Little Rascals,1994,6.707109,6.3,214.0
